'eng'	'ja'	'category'
'Attention deficit hyperactivity disorder (time to onset)'	'注意欠陥多動性障害(ADHD) (発症年齢)'	
'Attention deficit hyperactivity disorder and conduct disorder'	'注意欠陥多動性障害(ADHD)と行為障害'	
'Attention deficit hyperactivity disorder motor coordination'	'注意欠陥多動性障害(ADHD)運動協調性'	
'Attention deficit hyperactivity disorder symptoms (interaction)'	'注意欠陥多動性障害(ADHD)の症状 (interaction)'	
'Autism'	'自閉症'	
'Barrett''s esophagus'	'バレット食道'	
'Basal cell carcinoma '	'基底細胞癌'	
'Behcet''s disease'	'ベーチェット病'	
'Beta thalassemia/hemoglobin E disease'	'ベータサラセミア, ヘモグロビンＥ症'	
'Biliary atresia'	'胆道閉鎖症'	
'Bilirubin levels'	'ビリルビン濃度'	
'Biochemical measures'	'生化学的測定'	
'Biomedical quantitative traits'	'生化学的量的形質'	
'Bipolar disorder'	'双極性障害'	
'Bipolar disorder (Negative mood delusions)'	'双極性障害 (Negative mood delusions)'	
'Bipolar disorder (age of onset and psychomotor symptoms)'	'双極性障害 (age of onset and psychomotor symptoms)'	
'Bipolar disorder and major depressive disorder (combined)'	'双極性障害と大うつ病性障害 (combined)'	
'Bipolar disorder and schizophrenia'	'双極性障害と精神分裂病'	
'Birth weight'	'出生時体重'	
'Bitter taste response'	'苦味への応答'	
'Black vs. blond hair color'	'黒髪vs.金髪'	
'Black vs. red hair color'	'黒髪vs.赤毛'	
'Bladder cancer'	'膀胱癌'	
'Bleomycin sensitivity'	'ブレオマイシン感受性'	
'Blond vs. brown hair color'	'金髪vs.茶髪'	
'Blood pressure'	'血圧'	
'Blue vs. brown eyes'	'目の色(青色vs.茶色)'	
'Blue vs. green eyes'	'目の色(青色vs.緑色)'	
'Body mass (lean)'	'除脂肪体重(LBM)'	
'Body mass in chronic obstructive pulmonary disease'	'慢性閉塞性肺疾患(COPD)における体重'	
'Body mass index'	'肥満指数(BMI)'	
'Body mass index and cholesterol (psychopharmacological treatment)'	'肥満指数(BMI)とコレステロール (精神薬理学治療)'	
'Body mass index and fat mass'	'肥満指数(BMI)と体脂肪量'	
'Bone mineral density'	'骨密度'	
'Bone mineral density (hip)'	'骨密度 (hip)'	
'Bone mineral density (interaction)'	'骨密度 (interaction)'	
'Bone mineral density (spine)'	'骨密度 (spine)'	
'Brachial circumference'	'上腕周囲長'	
'Brain development'	'脳発生'	
'Brain imaging'	'脳画像診断'	
'Brain imaging in schizophrenia (interaction)'	'統合失調症における脳画像診断 (interaction)'	
'Brain lesion load'	'脳障害の負荷'	
'Brain structure'	'脳構造'	
'Breast cancer'	'乳がん'	
'Breast cancer (male) '	'乳がん (男性)'	
'Breast cancer (prognosis)'	'乳がん (予後)'	
'Breast cancer (survival)'	'乳がん (survival)'	
'Breast size'	'胸の大きさ'	
'Bronchopulmonary dysplasia'	'気管支肺異形成症(BPD)'	
'Burning and freckling'	'日焼けとそばかすの発生'	
'Butyrylcholinesterase levels'	'ブチリルコリンエステラーゼ濃度'	
'C-reactive protein'	'C反応性タンパク質(CRP)'	
'C-reactive protein and white blood cell count'	'C反応性タンパク質(CRP)と白血球数'	
'C4b binding protein levels'	'C4b結合タンパク質濃度'	
'CD4:CD8 lymphocyte ratio'	'CD4-CD8リンパ球比'	
'CYP3A4 enzyme activity'	'CYP3A4酵素活性'	
'Caffeine consumption'	'カフェイン消費'	
'Calcium levels'	'カルシウム濃度'	
'Cannabis dependence'	'大麻依存'	
'Cannbis use (initiation)'	'大麻使用 (initiation)'	
'Capecitabine sensitivity'	'カペシタビン感受性'	
'Cardiac hypertrophy'	'心臓肥大'	
'Cardiac repolarization'	'心臓の再分極'	
'Cardiac structure and function'	'心臓の構造と機能'	
'Cardiovascular disease risk factors'	'心血管疾患(CVD)危険因子'	
'Carotenoid and tocopherol levels'	'カロチノイドとトコフェロール濃度'	
'Carotid atherosclerosis in HIV infection'	'HIV感染症における頸動脈硬化症'	
'Carotid intima media thickness'	'頸動脈の内膜中膜複合体厚(IMT)'	
'Cataracts in type 2 diabetes'	'2型糖尿病性白内障'	
'Caudate nucleus volume'	'尾状核の体積'	
'Celiac disease'	'セリアック病'	
'Celiac disease and Rheumatoid arthritis'	'セリアック病と関節リウマチ(RA)'	
'Central corneal thickness'	'中心角膜厚'	
'Chemerin levels'	'ケマリン濃度'	
'Chemotherapeutic susceptibility'	'化学療法感受性'	
'Cholelithiasis-related traits in sickle cell anemia'	'鎌状赤血球貧血における胆石症関連形質'	
'Cholesterol'	'コレステロール'	
'Cholesterol, total'	'コレステロール総量'	
'Chronic Hepatitis C infection'	'C型慢性肝炎の感染'	
'Chronic fatigue syndrome'	'慢性疲労症候群(CFS)'	
'Chronic kidney disease'	'慢性腎疾患(CKD)'	
'Chronic kidney disease and serum creatinine levels'	'慢性腎疾患(CKD)と血清クレアチニン濃度'	
'Chronic lymphocytic leukemia'	'慢性リンパ性白血病(CLL)'	
'Chronic myeloid leukemia'	'慢性骨髄性白血病'	
'Chronic obstructive pulmonary disease'	'慢性閉塞性肺疾患(COPD)'	
'Circulating cell-free DNA'	'循環細胞フリーDNA, セルフリーDNA(ccfDNA)'	
'Cleft lip'	'口唇裂'	
'Coagulation factor levels'	'凝固因子濃度'	
'Coffee consumption'	'コーヒーの消費'	
'Cognitive ability'	'認知能力'	
'Cognitive decline'	'認知低下'	
'Cognitive function'	'認知機能'	
'Cognitive performance'	'認知パフォーマンス'	
'Cognitive test performance'	'認知機能テストのパフォーマンス'	
'Colorectal cancer'	'大腸がん'	
'Common traits (Other)'	'通有性 (Other)'	
'Common variable immunodeficiency'	'分類不能型免疫不全'	
'#'		
'Complement C3 and C4 levels'	'補体C3とC4の濃度'	
'Comprehensive strength and appendicular lean mass'	'Comprehensive strength and appendicular lean mass四肢筋肉量低下'	
'Conduct disorder (case status)'	'Conduct disorder (case status)'	
'Conduct disorder (interaction)'	'Conduct disorder (interaction)'	
'Conduct disorder (symptom count)'	'Conduct disorder (symptom count)'	
'Corneal astigmatism'	'角膜乱視'	
'Corneal curvature'	'Corneal curvature'	
'Corneal structure'	'Corneal structure'	
'Coronary artery calcification'	'冠動脈石灰化'	
'Coronary heart disease'	'アテローム(性)冠(状)動脈硬化性心疾患'	
'Coronary restenosis'	'冠状動脈再狭窄'	
'Coronary spasm'	'冠血管れん縮'	
'Cortical structure'	'Cortical structure'	
'Cortical thickness'	'Cortical thickness'	
'Cortisol secretion'	'Cortisol secretion'	
'Creatinine levels'	'Creatinine levels'	
'Creutzfeldt-Jakob disease'	'異型クロイツフェルト・ヤコブ病'	
'Creutzfeldt-Jakob disease (variant)'	'Creutzfeldt-Jakob disease (variant)'	
'Crohn''s disease'	'クローン病性若年性関節炎'	
'Crohn''s disease and celiac disease'	'Crohn''s disease and celiac disease'	
'Crohn''s disease and psoriasis'	'Crohn''s disease and psoriasis'	
'Crohn''s disease and sarcoidosis (combined)'	'Crohn''s disease and sarcoidosis (combined)'	
'Cutaneous nevi'	'Cutaneous nevi'	
'Cystatin C'	'シスタチンC'	
'Cystic fibrosis (meconium ileus) '	'Cystic fibrosis (meconium ileus)'	
'Cystic fibrosis severity'	'Cystic fibrosis severity'	
'Cytomegalovirus antibody response'	'Cytomegalovirus antibody response'	
'D-dimer levels'	'D-dimer levels'	
'Dehydroepiandrosterone sulphate levels'	'Dehydroepiandrosterone sulphate levels'	
'Dengue shock syndrome '	'Dengue shock syndrome'	
'Dental caries'	'う蝕活動性試験'	
'Depression (age of onset)'	'Depression (age of onset)'	
'Depression (quantitative trait)'	'Depression (quantitative trait)'	
'Depression and alcohol dependence'	'Depression and alcohol dependence'	
'Diabetes (gestational)'	'糖尿病(妊娠性)#'	
'Diabetes (incident)'	'Diabetes (incident)'	
'Diabetes related insulin traits'	'Diabetes related insulin traits'	
'Diabetic retinopathy '	'糖尿病性網膜症#'	
'Dialysis-related mortality'	'Dialysis-related mortality'	
'Diastolic blood pressure'	'最低血圧'	
'Digit length ratio'	'Digit length ratio'	
'Dilated cardiomyopathy'	'軽度拡張型心筋症'	
'Disc degeneration (lumbar)'	'Disc degeneration (lumbar)'	
'Drinking behavior'	'飲水行動'	
'Drug-induced liver injury '	'Drug-induced liver injury'	
'Drug-induced liver injury (amoxicillin-clavulanate)'	'Drug-induced liver injury (amoxicillin-clavulanate)'	
'Drug-induced liver injury (flucloxacillin)'	'Drug-induced liver injury (flucloxacillin)'	
'Duodenal ulcer '	'穿孔性十二指腸潰瘍'	
'Dupuytren''s disease'	'デュプイトラン病#'	
'E-selectin levels'	'E-selectin levels'	
'Eating disorders'	'摂食障害#'	
'Echocardiographic traits'	'Echocardiographic traits'	
'Economic and political preferences'	'Economic and political preferences'	
'Economic and political preferences (environmentalism)'	'Economic and political preferences (environmentalism)'	
'Economic and political preferences (fairness)'	'Economic and political preferences (fairness)'	
'Economic and political preferences (feminism/equality)'	'Economic and political preferences (feminism/equality)'	
'Economic and political preferences (immigration/crime)'	'Economic and political preferences (immigration/crime)'	
'Economic and political preferences (time)'	'Economic and political preferences (time)'	
'Educational attainment'	'Educational attainment'	
'Electrocardiographic conduction measures'	'Electrocardiographic conduction measures'	
'Electrocardiographic traits'	'Electrocardiographic traits'	
'Electroencephalogram traits'	'Electroencephalogram traits'	
'Electroencephalographic traits in alcoholism'	'Electroencephalographic traits in alcoholism'	
'Emphysema-related traits'	'肺気腫に関連した形質#'	
'End-stage renal disease'	'糖尿病末期腎不全'	
'End-stage renal disease (non-diabetic)'	'End-stage renal disease (non-diabetic)'	
'Endometrial cancer'	'子宮体がん'	
'Endometriosis'	'内性子宮内膜症'	
'Endothelial function traits'	'Endothelial function traits'	
'Entorhinal cortical thickness'	'Entorhinal cortical thickness'	
'Environmental confusion in the home'	'Environmental confusion in the home'	
'Eosinophil counts'	'Eosinophil counts'	
'Eosinophilic esophagitis (pediatric)'	'好酸球性食道炎(周期的)#'	
'Epilepsy'	'てんかん#'	
'Epilepsy (generalized)'	'てんかん(全般性)#'	
'Epirubicin-induced leukopenia '	'エピルビシンにより誘発される白血球減少#'	
'Episodic memory'	'エピソード記憶'	
'Erectile dysfunction'	'勃起改善薬'	
'Erectile dysfunction and prostate cancer treatment'	'Erectile dysfunction and prostate cancer treatment'	
'Erythrocyte sedimentation rate'	'血沈'	
'Esophageal cancer'	'食道がん#'	
'Esophageal cancer  (alcohol interaction)'	'食道がん(アルコール相互作用)#'	
'Esophageal cancer (squamous cell)'	'食道がん(扁平上皮細胞)#'	
'Esophageal cancer and gastric cancer'	'食道がんと胃がん#'	
'Essential tremor'	'本態性振戦症'	
'Estradiol levels'	'Estradiol levels'	
'Event-related brain oscillations'	'Event-related brain oscillations'	
'Ewing sarcoma'	'ユーイング肉腫'	
'Exercise (leisure time)'	'Exercise (leisure time)'	
'Exercise treadmill test traits'	'Exercise treadmill test traits'	
'Eye color'	'眼色'	
'Eye color traits'	'Eye color traits'	
'F-cell distribution'	'F-cell distribution'	
'Facial morphology'	'Facial morphology'	
'Factor VII'	'遺伝子組換え第VIII因子SQ'	
'Factor XI'	'凝固第XI因子'	
'Fasting glucose-related traits'	'Fasting glucose-related traits'	
'Fasting glucose-related traits (interaction with BMI)'	'Fasting glucose-related traits (interaction with BMI)'	
'Fasting insulin-related traits'	'Fasting insulin-related traits'	
'Fasting insulin-related traits (interaction with BMI)'	'Fasting insulin-related traits (interaction with BMI)'	
'Fasting plasma glucose'	'空腹時血糖値'	
'Femoral neck bone geometry'	'Femoral neck bone geometry'	
'Fetal hemoglobin levels'	'Fetal hemoglobin levels'	
'Fibrinogen'	'フィブリノ(ー)ゲン分解(産)物'	
'Fluorouracil treatment response in colorectal cancer'	'Fluorouracil treatment response in colorectal cancer'	
'Folate pathway vitamin levels'	'Folate pathway vitamin levels'	
'Follicular lymphoma'	'巨大濾胞性リンパ腫'	
'Formal thought disorder in schizophrenia'	'統合失調症における思考障害#'	
'Fracture-related traits'	'Fracture-related traits'	
'Freckles'	'そばかす#'	
'Freckling'	'Freckling'	
'Frontotemporal lobar degeneration'	'前頭側頭葉変性症'	
'Fuchs''s corneal dystrophy'	'フックス角膜変性症#'	
'Functional MRI'	'機能的磁気共鳴画像法'	
'Gallbladder cancer'	'転移性胆嚢癌'	
'Gallstones'	'胆石#'	
'Gambling'	'賭博'	
'Gamma gluatamyl transferase levels'	'Gamma gluatamyl transferase levels'	
'Gamma gluatamyl transferase levels (interaction with age)'	'Gamma gluatamyl transferase levels (interaction with age)'	
'Gamma glutamyl transpeptidase'	'Gamma glutamyl transpeptidase'	
'Gastric cancer'	'残胃癌'	
'Gaucher disease severity'	'Gaucher disease severity'	
'General cognitive ability'	'General cognitive ability'	
'Glaucoma'	'緑内障#'	
'Glaucoma (exfoliation)'	'緑内障(落屑性)#'	
'Glaucoma (primary open-angle)'	'緑内障(原発性, 開放偶角)#'	
'Glioblastoma'	'巨細胞膠芽腫'	
'Glioma'	'グリオーマ#'	
'Glioma (high-grade)'	'グリオーマ(high-grade)#'	
'Glomerulosclerosis'	'分節状糸球体硬化症'	
'Glycated hemoglobin levels'	'Glycated hemoglobin levels'	
'Glycemic control in type 1 diabetes (HbA1c)'	'Glycemic control in type 1 diabetes (HbA1c)'	
'Gout'	'アイカルディ・ゴーシェ症候群'	
'Graves'' disease'	'Basedow病'	
'HDL Cholesterol - Triglycerides (HDLC-TG)'	'HDL Cholesterol - Triglycerides (HDLC-TG)'	
'HDL cholesterol'	'HDLコレステロール'	
'HIV (mother-to-child transmission)'	'HIV (mother-to-child transmission)'	
'HIV-1 control'	'HIV-1 control'	
'HIV-1 progression'	'HIV-1 progression'	
'HIV-1 replication'	'HIV-1 replication'	
'HIV-1 susceptibility'	'HIV-1 susceptibility'	
'HIV-1 viral setpoint'	'HIV-1 viral setpoint'	
'HIV-associated dementia '	'HIV-associated dementia'	
'HPV seropositivity'	'HPV seropositivity'	
'Hair color'	'毛髪色'	
'Hair morphology'	'Hair morphology'	
'Handedness in dyslexia'	'Handedness in dyslexia'	
'Haptoglobin levels'	'Haptoglobin levels'	
'Head circumference (infant)'	'Head circumference (infant)'	
'Hearing impairment'	'後迷路性難聴'	
'Heart failure'	'甲状腺中毒性心不全'	
'Heart rate variability traits'	'Heart rate variability traits'	
'Height'	'ステップ高'	
'Hematocrit'	'血球容量'	
'Hematological parameters'	'Hematological parameters'	
'Hematology traits'	'Hematology traits'	
'Hemoglobin'	'酵素－ヘモグロビン解離曲線'	
'Hemoglobin levels'	'Hemoglobin levels'	
'Hemostatic factors and hematological phenotypes'	'Hemostatic factors and hematological phenotypes'	
'Hepatitis B'	'B型肝炎#'	
'Hepatitis B (viral clearance)'	'B型肝炎(ウイルスの排除)#'	
'Hepatitis B vaccine response'	'B型肝炎 vaccine response'	
'Hepatitis C induced liver fibrosis'	'Hepatitis C induced liver fibrosis'	
'Hepatocellular carcinoma'	'肝細胞がん'	
'Hepcidin levels'	'Hepcidin levels'	
'Heroin addiction'	'ヘロイン嗜癖'	
'Hip bone size'	'Hip bone size'	
'Hip geometry'	'Hip geometry'	
'Hippocampal atrophy'	'Hippocampal atrophy'	
'Hippocampal volume'	'Hippocampal volume'	
'Hirschsprung''s disease'	'Hirschsprung病'	
'Hoarding'	'強迫的溜め込み症'	
'Hodgkin''s lymphoma'	'Hodgkinリンパ腫'	
'Homocysteine levels'	'Homocysteine levels'	
'Hyperactive-impulsive symptoms'	'Hyperactive-impulsive symptoms'	
'Hypertension'	'食塩感受性高血圧'	
'Hypertension (young onset)'	'Hypertension (young onset)'	
'Hypertension risk in short sleep duration'	'Hypertension risk in short sleep duration'	
'Hypertriglyceridemia'	'家族性高トリグリセリド血症'	
'Hypospadias'	'尿道下裂'	
'Hypothyroidism'	'二次性甲状腺機能低下'	
'IFN-related cytopenia'	'IFN-related cytopenia'	
'Idiopathic pulmonary fibrosis'	'特発性肺線維症'	
'IgA levels'	'IgA levels'	
'IgA nephropathy'	'IgA腎症'	
'IgE grass sensitization'	'IgE grass sensitization'	
'IgE levels '	'IgE levels'	
'IgG levels'	'IgG levels'	
'Ileal carcinoids'	'Ileal carcinoids'	
'Immune reponse to smallpox (secreted IFN-alpha)'	'Immune reponse to smallpox (secreted IFN-alpha)'	
'Immune reponse to smallpox (secreted IL-10)'	'Immune reponse to smallpox (secreted IL-10)'	
'Immune reponse to smallpox (secreted IL-12p40)'	'Immune reponse to smallpox (secreted IL-12p40)'	
'Immune reponse to smallpox (secreted IL-1beta)'	'Immune reponse to smallpox (secreted IL-1beta)'	
'Immune reponse to smallpox (secreted IL-2)'	'Immune reponse to smallpox (secreted IL-2)'	
'Immune reponse to smallpox (secreted TNF-alpha)'	'Immune reponse to smallpox (secreted TNF-alpha)'	
'Immune response to anthrax vaccine '	'Immune response to anthrax vaccine'	
'Immune response to smallpox vaccine (IL-6)'	'Immune response to smallpox vaccine (IL-6)'	
'Immunoglobulin A '	'IgA腎症'	
'Inattentive symptoms'	'Inattentive symptoms'	
'Infantile hypertrophic pyloric stenosis'	'乳児肥厚性幽門狭窄症'	
'Inflammatory biomarkers'	'Inflammatory biomarkers'	
'Inflammatory bowel disease'	'炎症性腸疾患#'	
'Inflammatory bowel disease (early onset)'	'炎症性腸疾患(早期発症)#'	
'Influenza (severity)'	'Influenza (severity)'	
'Information processing speed'	'Information processing speed'	
'Insomnia (caffeine-induced)'	'Insomnia (caffeine-induced)'	
'Insulin resistance/response'	'Insulin resistance/response'	
'Insulin-like growth factors'	'Insulin-like growth factors'	
'Insulin-related traits'	'Insulin-related traits'	
'Intelligence'	'こころの知能'	
'Interleukin-18 levels'	'Interleukin-18 levels'	
'Interstitial lung disease '	'Interstitial lung disease'	
'Intracranial aneurysm'	'脳動脈瘤'	
'Intracranial volume'	'Intracranial volume'	
'Intraocular pressure'	'眼圧亢進'	
'Iris characteristics'	'Iris characteristics'	
'Iris color'	'Iris color'	
'Iron levels'	'Iron levels'	
'Iron status biomarkers'	'Iron status biomarkers'	
'Kawasaki disease'	'Kawasaki病'	
'Keloid'	'ケロイド'	
'Kidney stones'	'腎結石#'	
'Knee osteoarthritis'	'変形性膝関節炎'	
'LDL cholesterol'	'LDLコレステロール'	
'Lapatinib-induced hepatotoxicity'	'Lapatinib-induced hepatotoxicity'	
'Large B-cell lymphoma'	'びまん性大細胞リンパ腫'	
'Lean body mass and age at menarche (combined)'	'Lean body mass and age at menarche (combined)'	
'Left ventricular mass'	'左室重量係数'	
'Lentiform nucleus volume '	'Lentiform nucleus volume'	
'Leprosy'	'境界型ハンセン病'	
'Life threatening arrhythmia'	'Life threatening arrhythmia'	
'Lipid levels in hepatitis C treatment'	'Lipid levels in hepatitis C treatment'	
'Lipid metabolism phenotypes'	'Lipid metabolism phenotypes'	
'Lipid traits'	'Lipid traits'	
'Lipoprotein-associated phospholipase A2 activity and mass'	'Lipoprotein-associated phospholipase A2 activity and mass'	
'Liver enzyme levels'	'Liver enzyme levels'	
'Liver enzyme levels (alanine transaminase)'	'Liver enzyme levels (alanine transaminase)'	
'Liver enzyme levels (alkaline phosphatase)'	'Liver enzyme levels (alkaline phosphatase)'	
'Liver enzyme levels (gamma-glutamyl transferase)'	'Liver enzyme levels (gamma-glutamyl transferase)'	
'Longevity'	'寿命延長'	
'Lp (a) levels'	'Lp (a) levels'	
'Lumiracoxib-related liver injury'	'Lumiracoxib-related liver injury'	
'Lung adenocarcinoma'	'肺腺癌'	
'Lung adenocarcinoma (clinical stage)'	'Lung adenocarcinoma (clinical stage)'	
'Lung cancer'	'転移性肺非小細胞癌'	
'Lung cancer-asbestos exposure interaction'	'Lung cancer-asbestos exposure interaction'	
'Lupus'	'ループス血小板減少症'	
'Lymphocyte counts'	'Lymphocyte counts'	
'MRI atrophy measures'	'MRI atrophy measures'	
'Magnesium levels'	'Magnesium levels'	
'Major CVD'	'Major CVD'	
'Major depressive disorder'	'大うつ病#'	
'Major depressive disorder (broad)'	'大うつ病(広汎性)#'	
'Major mood disorders'	'Major mood disorders'	
'Malaria'	'マラリア#'	
'Male fertility'	'女性用妊娠促進薬'	
'Male infertility'	'男性不妊'	
'Male-pattern baldness'	'男性型禿頭症#'	
'Mammographic density'	'Mammographic density'	
'Mathematical ability'	'Mathematical ability'	
'Matrix metalloproteinase levels'	'Matrix metalloproteinase levels'	
'Mean corpuscular hemoglobin'	'平均赤血球血色素濃度'	
'Mean corpuscular volume'	'平均赤血球容積'	
'Mean forced vital capacity from 2 exams'	'Mean forced vital capacity from 2 exams'	
'Mean platelet volume'	'Mean platelet volume'	
'Melanoma'	'B16メラノーマ細胞'	
'Memory (short-term)'	'Memory (short-term)'	
'Memory performance'	'Memory performance'	
'Menarche (age at onset)'	'Menarche (age at onset)'	
'Menarche and menopause (age at onset)'	'Menarche and menopause (age at onset)'	
'Meningioma '	'Meningioma'	
'Meningococcal disease'	'Meningococcal disease'	
'Menopause (age at onset)'	'Menopause (age at onset)'	
'Metabolic syndrome'	'代謝異常症候群'	
'Metabolic syndrome (bivariate traits)'	'Metabolic syndrome (bivariate traits)'	
'Metabolic traits'	'Metabolic traits'	
'Metabolite levels'	'Metabolite levels'	
'Methamphetamine dependence'	'Methamphetamine dependence'	
'Migraine'	'片頭痛前兆'	
'Migraine in bipolar disorder'	'Migraine in bipolar disorder'	
'Monocyte chemoattractant protein-1 '	'Monocyte chemoattractant protein-1'	
'Monocyte early outgrowth colony forming units'	'Monocyte early outgrowth colony forming units'	
'Morbidity-free survival'	'Morbidity-free survival'	
'Mortality among heart failure patients'	'心不全の患者での死亡の増加#'	
'Moyamoya disease'	'成人もやもや病'	
'Multiple myeloma'	'多発性骨髄腫'	
'Multiple sclerosis'	'一次性進行型多発性硬化症'	
'Multiple sclerosis (age of onset)'	'Multiple sclerosis (age of onset)'	
'Multiple sclerosis (severity)'	'Multiple sclerosis (severity)'	
'Multiple sclerosis--Brain Glutamate Levels'	'Multiple sclerosis--Brain Glutamate Levels'	
'Myasthenia gravis '	'重症筋無力症#'	
'Myeloproliferative neoplasms'	'Myeloproliferative neoplasms'	
'Myocardial infarction'	'心筋梗塞#'	
'Myocardial infarction (early onset)'	'心筋梗塞(若年性)#'	
'Myopia (pathological)'	'近視(病的な)#'	
'N-glycan levels'	'N-glycan levels'	
'Naphthyl-keratin adduct levels '	'Naphthyl-keratin adduct levels'	
'Narcolepsy'	'睡眠発作'	
'Nasopharyngeal carcinoma'	'鼻咽頭がん'	
'Natriuretic peptide levels'	'Natriuretic peptide levels'	
'Neonatal lupus'	'新生児エリテマトーデス'	
'Nephrolithiasis'	'多発性腎結石'	
'Nephropathy'	'高カルシウム血症性腎症'	
'Nephropathy (idiopathic membranous)'	'Nephropathy (idiopathic membranous)'	
'Nephrotic syndrome (acquired)'	'ネフローゼ症候群(後天性)#'	
'Neural processing (facial expression)'	'Neural processing (facial expression)'	
'Neuranatomic and neurocognitive phenotypes'	'Neuranatomic and neurocognitive phenotypes'	
'Neuroblastoma'	'神経芽細胞腫#'	
'Neuroblastoma (high-risk)'	'神経芽細胞腫 (high-risk)'	
'Neuromyelitis optica'	'視神経脊髄炎'	
'Neuroticism'	'神経質'	
'Neutrophil count'	'好中球数'	
