eng	ja	category	is_drug_response
Alzheimer's disease	アルツハイマー病	Disease
Alzheimer's disease (age of onset)	アルツハイマー病 (発症年齢)	Disease
Alzheimer's disease (late onset)	アルツハイマー病 (遅発型)	Disease
Alzheimer's disease biomarkers	アルツハイマー病バイオマーカー	Trait_med
Amygdala reactivity	扁桃体の反応性	Trait_med
Amyloid A Levels	アミロイドAタンパク質濃度	Trait_med
Amyotrophic lateral sclerosis	筋萎縮性側索硬化症	Disease
Amyotrophic lateral sclerosis (age of onset)	筋萎縮性側索硬化症 (発症年齢)	Disease
Amyotrophic lateral sclerosis (interaction)	筋萎縮性側索硬化症 (interaction)	Disease
Androgen levels	アンドロゲン濃度	Trait_med
Angiotensin-converting enzyme activity	アンジオテンシン変換酵素活性	Trait_med
Ankle-brachial index 	足関節・上腕血圧指数(ABI)	Trait_med
Ankylosing spondylitis	強直性脊椎炎	Disease
Anorexia nervosa	拒食症	Disease
Anthropometric traits	人体計測的な形質	Trait_easy
Anti-cyclic Citrullinated Peptide Antibody	抗環状シトルリン化ペプチド抗体	Trait_med
Anticoagulant levels	抗凝固薬レベル	Trait_med
Antineutrophil cytoplasmic antibody-associated vasculitis 	抗好中球細胞質抗体(ANCA)関連血管炎	Disease
Antipsychotic drug-induced weight gain	抗精神病薬誘発性の体重増加	Trait_med
Antipsychotic-induced QTc interval prolongation	抗精神病薬誘発性のQT間隔延長	Trait_med
Aortic root size	大動脈根の大きさ	Trait_med
Aortic stiffness	大動脈の剛性	Trait_med
Arsenic metabolism 	ヒ素の代謝	Trait_med
Arterial stiffness	動脈壁の剛性	Trait_med
Arthritis (juvenile idiopathic)	関節炎 (若年性特発性)	Disease
Aspartate aminotransferase 	アスパラギン酸アミノ基転移酵素(AST)	Trait_med
Asperger disorder	アスペルガー障害	Disease
Asthma	喘息	Disease
Asthma (aspirin-intolerant) 	喘息 (aspirin-intolerant)	Disease
Asthma (bronchodilator response)	喘息 (bronchodilator response)	Disease
Asthma (childhood onset)	喘息 (childhood onset)	Disease
Asthma (toluene diisocyanate-induced)	喘息 (toluene diisocyanate-induced)	Disease
Asthma treatment response	喘息 treatment response	Disease
Atopic dermatitis	アトピー性皮膚炎	Disease
Atopy	アトピー	Disease
Atrial fibrillation	心房細動	Trait_med
Atrial fibrillation/atrial flutter	心房細動, 心房粗動	Trait_med
Atrioventricular conduction	房室伝導	Trait_med
Attention deficit hyperactivity disorder	注意欠陥多動性障害(ADHD)	Disease
Attention deficit hyperactivity disorder (time to onset)	注意欠陥多動性障害(ADHD) (発症年齢)	Disease
Attention deficit hyperactivity disorder and conduct disorder	注意欠陥多動性障害(ADHD)と行為障害	Disease
Attention deficit hyperactivity disorder motor coordination	注意欠陥多動性障害(ADHD)運動協調性	Disease
Attention deficit hyperactivity disorder symptoms (interaction)	注意欠陥多動性障害(ADHD)の症状 (interaction)	Disease
Autism	自閉症	Disease
Barrett's esophagus	バレット食道	Disease
Basal cell carcinoma 	基底細胞癌	Disease
Behcet's disease	ベーチェット病	Disease
Beta thalassemia/hemoglobin E disease	ベータサラセミア, ヘモグロビンＥ症	Disease
Biliary atresia	胆道閉鎖症	Disease
Bilirubin levels	ビリルビン濃度	Trait_med
Biochemical measures	生化学的測定	Trait_med
Biomedical quantitative traits	生化学的量的形質	Trait_med
Bipolar disorder	双極性障害	Disease
Bipolar disorder (Negative mood delusions)	双極性障害 (Negative mood delusions)	Disease
Bipolar disorder (age of onset and psychomotor symptoms)	双極性障害 (age of onset and psychomotor symptoms)	Disease
Bipolar disorder and major depressive disorder (combined)	双極性障害と大うつ病性障害 (combined)	Disease
Bipolar disorder and schizophrenia	双極性障害と精神分裂病	Disease
Birth weight	出生時体重	Trait_easy
Bitter taste response	苦味への応答	Trait_easy
Black vs. blond hair color	黒髪vs.金髪	Trait_easy
Black vs. red hair color	黒髪vs.赤毛	Trait_easy
Bladder cancer	膀胱癌	Disease
Bleomycin sensitivity	ブレオマイシン感受性	Trait_med
Blond vs. brown hair color	金髪vs.茶髪	Trait_easy
Blood pressure	血圧	Trait_easy
Blue vs. brown eyes	目の色(青色vs.茶色)	Trait_easy
Blue vs. green eyes	目の色(青色vs.緑色)	Trait_easy
Body mass (lean)	除脂肪体重(LBM)	Trait_easy
Body mass in chronic obstructive pulmonary disease	慢性閉塞性肺疾患(COPD)における体重	Trait_med
Body mass index	肥満指数(BMI)	Trait_easy
Body mass index and cholesterol (psychopharmacological treatment)	肥満指数(BMI)とコレステロール (精神薬理学治療)	Trait_med
Body mass index and fat mass	肥満指数(BMI)と体脂肪量	Trait_easy
Bone mineral density	骨密度	Trait_easy
Bone mineral density (hip)	骨密度 (hip)	Trait_easy
Bone mineral density (interaction)	骨密度 (interaction)	Trait_easy
Bone mineral density (spine)	骨密度 (spine)	Trait_easy
Brachial circumference	上腕周囲長	Trait_easy
Brain development	脳発生	Trait_med
Brain imaging	脳画像診断	Trait_med
Brain imaging in schizophrenia (interaction)	統合失調症における脳画像診断 (interaction)	Trait_med
Brain lesion load	脳障害の負荷	Trait_med
Brain structure	脳構造	Trait_med
Breast cancer	乳がん	Disease
Breast cancer (male) 	乳がん (男性)	Disease
Breast cancer (prognosis)	乳がん (予後)	Disease
Breast cancer (survival)	乳がん (survival)	Disease
Breast size	胸の大きさ	Trait_easy
Bronchopulmonary dysplasia	気管支肺異形成症(BPD)	Disease
Burning and freckling	日焼けとそばかすの発生	Trait_easy
Butyrylcholinesterase levels	ブチリルコリンエステラーゼ濃度	Trait_med
C-reactive protein	C反応性タンパク質(CRP)	Trait_med
C-reactive protein and white blood cell count	C反応性タンパク質(CRP)と白血球数	Trait_med
C4b binding protein levels	C4b結合タンパク質濃度	Trait_med
CD4:CD8 lymphocyte ratio	CD4-CD8リンパ球比	Trait_med
CYP3A4 enzyme activity	CYP3A4酵素活性	Trait_med
Caffeine consumption	カフェイン消費	Trait_easy
Calcium levels	カルシウム濃度	Trait_easy
Cannabis dependence	大麻依存	Disease
Cannbis use (initiation)	大麻使用 (initiation)	Disease
Capecitabine sensitivity	カペシタビン感受性	Trait_med
Cardiac hypertrophy	心臓肥大	Disease
Cardiac repolarization	心臓の再分極	Disease
Cardiac structure and function	心臓の構造と機能	Trait_med
Cardiovascular disease risk factors	心血管疾患(CVD)危険因子	Trait_med
Carotenoid and tocopherol levels	カロチノイドとトコフェロール濃度	Trait_med
Carotid atherosclerosis in HIV infection	HIV感染症における頸動脈硬化症	Disease
Carotid intima media thickness	頸動脈の内膜中膜複合体厚(IMT)	Trait_med
Cataracts in type 2 diabetes	2型糖尿病性白内障	Disease
Caudate nucleus volume	尾状核の体積	Trait_med
Celiac disease	セリアック病	Disease
Celiac disease and Rheumatoid arthritis	セリアック病と関節リウマチ(RA)	Disease
Central corneal thickness	中心角膜厚	Trait_med
Chemerin levels	ケマリン濃度	Trait_med
Chemotherapeutic susceptibility	化学療法感受性	Trait_med
Cholelithiasis-related traits in sickle cell anemia	鎌状赤血球貧血における胆石症関連形質	Trait_med
Cholesterol	コレステロール	Trait_med
Cholesterol, total	コレステロール総量	Trait_med
Chronic Hepatitis C infection	C型慢性肝炎の感染	Disease
Chronic fatigue syndrome	慢性疲労症候群(CFS)	Disease
Chronic kidney disease	慢性腎疾患(CKD)	Disease
Chronic kidney disease and serum creatinine levels	慢性腎疾患(CKD)と血清クレアチニン濃度	Trait_med
Chronic lymphocytic leukemia	慢性リンパ性白血病(CLL)	Disease
Chronic myeloid leukemia	慢性骨髄性白血病	Disease
Chronic obstructive pulmonary disease	慢性閉塞性肺疾患(COPD)	Disease
Circulating cell-free DNA	循環細胞フリーDNA, セルフリーDNA(ccfDNA)	Trait_med
Cleft lip	口唇裂	Disease
Coagulation factor levels	凝固因子濃度	Trait_med
Coffee consumption	コーヒーの消費	Trait_easy
Cognitive ability	認知能力	Trait_med
Cognitive decline	認知低下	Trait_med
Cognitive function	認知機能	Trait_med
Cognitive performance	認知パフォーマンス	Trait_med
Cognitive test performance	認知機能テストのパフォーマンス	Trait_med
Colorectal cancer	大腸がん	Disease
Common traits (Other)	Common traits (Other)	NA
Common variable immunodeficiency	分類不能型免疫不全	Disease
Complement C3 and C4 levels	血清補体C3とC4の濃度	Trait_med
Comprehensive strength and appendicular lean mass	圧縮強度と四肢筋肉量低下?	Trait_med
Conduct disorder (case status)	行動障害 (case status)	Disease
Conduct disorder (interaction)	行動障害 (interaction)	Disease
Conduct disorder (symptom count)	行動障害 (symptom count)	Disease
Corneal astigmatism	角膜乱視	Disease
Corneal curvature	角膜曲率	Trait_med
Corneal structure	角膜構造	Trait_med
Coronary artery calcification	冠動脈石灰化	Disease
Coronary heart disease	冠(状)動脈(性心)疾患	Disease
Coronary restenosis	冠(状)動脈再狭窄	Disease
Coronary spasm	冠動脈れん縮	Disease
Cortical structure	皮質の構造	Trait_med
Cortical thickness	皮質厚	Trait_med
Cortisol secretion	コルチゾールの分泌	Trait_med
Creatinine levels	クレアチニン濃度	Trait_med
Creutzfeldt-Jakob disease	クロイツフェルト・ヤコブ病	Disease
Creutzfeldt-Jakob disease (variant)	クロイツフェルト・ヤコブ病 (variant)	Disease
Crohn's disease	クローン病	Disease
Crohn's disease and celiac disease	クローン病と小児脂肪便症(セリアック病)	Disease
Crohn's disease and psoriasis	クローン病と乾癬	Disease
Crohn's disease and sarcoidosis (combined)	クローン病とサルコイドーシス(類肉腫症) (combined)	Disease
Cutaneous nevi	皮膚性の母斑症	Disease
Cystatin C	シスタチンC	Trait_med
Cystic fibrosis (meconium ileus) 	嚢胞性繊維症 (胎便による腸閉塞(胎便性イレウス))	Disease
Cystic fibrosis severity	嚢胞性繊維症の重症度	Disease
Cytomegalovirus antibody response	サイトメガロウイルス抗体反応	Trait_med
D-dimer levels	Dダイマー濃度	Trait_med
Dehydroepiandrosterone sulphate levels	デヒドロエアピンドロステロン硫酸塩濃度	Trait_med
Dengue shock syndrome 	デング熱ショック症候群	Disease
Dental caries	う蝕(虫歯)	Disease
Depression (age of onset)	うつ病 (age of onset)	Disease
Depression (quantitative trait)	うつ病 (quantitative trait)	Disease
Depression and alcohol dependence	うつ病とアルコール依存	Disease
Diabetes (gestational)	糖尿病 (gestational)	Disease
Diabetes (incident)	糖尿病 (incident)	Disease
Diabetes related insulin traits	糖尿病関連のインシュリン形質	Trait_med
Diabetic retinopathy 	糖尿病性網膜症	Disease
Dialysis-related mortality	透析関連の死亡率	Trait_med
Diastolic blood pressure	拡張期血圧 (最低血圧)	Trait_easy
Digit length ratio	指の長さの比	Trait_easy
Dilated cardiomyopathy	拡張型心筋症	Disease
Disc degeneration (lumbar)	腰椎椎間板変性	Disease
Drinking behavior	飲水行動	Trait_med
Drug-induced liver injury 	薬物性肝障害	Disease
Drug-induced liver injury (amoxicillin-clavulanate)	薬物性肝障害 (amoxicillin-clavulanate)	Disease
Drug-induced liver injury (flucloxacillin)	薬物性肝障害 (flucloxacillin)	Disease
Duodenal ulcer 	十二指腸潰瘍	Disease
Dupuytren's disease	デュピュイトラン病	Disease
E-selectin levels	Eセレクチン濃度	Trait_med
Eating disorders	摂食障害	Disease
Echocardiographic traits	心エコーの特徴	Trait_med
Economic and political preferences	経済的・政治的な選択(好み)	Trait_easy
Economic and political preferences (environmentalism)	経済的・政治的な選択(好み) (environmentalism)	Trait_easy
Economic and political preferences (fairness)	経済的・政治的な選択(好み) (fairness)	Trait_easy
Economic and political preferences (feminism/equality)	経済的・政治的な選択(好み) (feminism/equality)	Trait_easy
Economic and political preferences (immigration/crime)	経済的・政治的な選択(好み) (immigration/crime)	Trait_easy
Economic and political preferences (time)	経済的・政治的な選択(好み) (time)	Trait_easy
Educational attainment	学歴	Trait_easy
Electrocardiographic conduction measures	心電図の伝導測定?	Trait_med
Electrocardiographic traits	心電図の特徴	Trait_med
Electroencephalogram traits	脳波図の特徴	Trait_med
Electroencephalographic traits in alcoholism	アルコール依存症における脳波図の特徴	Trait_med
Emphysema-related traits	肺気腫関連の形質	Trait_med
End-stage renal disease	末期腎不全	Disease
End-stage renal disease (non-diabetic)	末期腎不全 (non-diabetic)	Disease
Endometrial cancer	子宮内膜がん	Disease
Endometriosis	子宮内膜症	Disease
Endothelial function traits	内皮機能の形質	Trait_med
Entorhinal cortical thickness	嗅内皮質の厚み	Trait_med
Environmental confusion in the home	家における環境の乱雑さ?	Trait_easy
Eosinophil counts	好酸球の数	Trait_med
Eosinophilic esophagitis (pediatric)	好酸球性食道炎 (pediatric)	Disease
Epilepsy	てんかん	Disease
Epilepsy (generalized)	てんかん (generalized)	Disease
Epirubicin-induced leukopenia 	エピルビシン誘導の白血球減少症	Disease
Episodic memory	エピソード記憶	Trait_med
Erectile dysfunction	勃起不全	Disease
Erectile dysfunction and prostate cancer treatment	勃起不全と前立腺癌治療	Disease
Erythrocyte sedimentation rate	赤血球沈降速度	Trait_med
Esophageal cancer	食道がん	Disease
Esophageal cancer  (alcohol interaction)	食道がん  (alcohol interaction)	Disease
Esophageal cancer (squamous cell)	食道がん (squamous cell)	Disease
Esophageal cancer and gastric cancer	食道がんと胃がん	Disease
Essential tremor	特発性振戦	Disease
Estradiol levels	エストラジオール濃度	Trait_med
Event-related brain oscillations	事象関連脳波振動	Trait_med
Ewing sarcoma	ユーイング肉腫	Disease
Exercise (leisure time)	余暇における運動	Trait_easy
Exercise treadmill test traits	トレッドミル運動負荷試験における特性	Trait_med
Eye color	眼色	Trait_easy
Eye color traits	眼色形質	Trait_easy
F-cell distribution	F細胞の分布	Trait_med
Facial morphology	顔の形態	Trait_med
Factor VII	第Ⅶ因子(血清プロトロンビン転化促進因子)	Trait_med
Factor XI	第XI因子(血漿トロンボプラスチン前駆物質)	Trait_med
Fasting glucose-related traits	空腹時血糖関連形質	Trait_med
Fasting glucose-related traits (interaction with BMI)	空腹時血糖関連形質 (BMIとの相互作用)	Trait_med
Fasting insulin-related traits	空腹時インシュリン関連形質	Trait_med
Fasting insulin-related traits (interaction with BMI)	空腹時インシュリン関連形質 (BMIとの相互作用)	Trait_med
Fasting plasma glucose	空腹時血糖値	Trait_med
Femoral neck bone geometry	大腿骨頸部の骨形状	Trait_med
Fetal hemoglobin levels	胎児性ヘモグロビン濃度	Trait_med
Fibrinogen	フィブリノーゲン	Trait_med
Fluorouracil treatment response in colorectal cancer	大腸がんにおけるフルオロウラシル投与への応答	Trait_med
Folate pathway vitamin levels	葉酸パスウェイにおけるビタミン濃度?	Trait_med
Follicular lymphoma	濾胞性リンパ腫	Disease
Formal thought disorder in schizophrenia	精神分裂病における思考障害	Disease
Fracture-related traits	骨折関連形質	Trait_med
Freckles	そばかす	Trait_easy
Freckling	そばかす	Trait_easy
Frontotemporal lobar degeneration	前頭側頭葉変性症	Disease
Fuchs's corneal dystrophy	フックス角膜内皮変性症	Disease
Functional MRI	機能的MRI(磁気共鳴画像法)	Trait_med
Gallbladder cancer	胆嚢がん	Disease
Gallstones	胆石症	Disease
Gambling	賭博	Trait_easy
Gamma gluatamyl transferase levels	ガンマグルタミン酸転移酵素濃度	Trait_med
Gamma gluatamyl transferase levels (interaction with age)	ガンマグルタミン酸転移酵素濃度 (年齢との相互作用)	Trait_med
Gamma glutamyl transpeptidase	ガンマグルタミン酸転移酵素	Trait_med
Gastric cancer	胃がん	Disease
Gaucher disease severity	ゴーシェ病の重症度	Disease
General cognitive ability	一般的な認知能力	Trait_med
Glaucoma	緑内障	Disease
Glaucoma (exfoliation)	緑内障 (剥離)	Disease
Glaucoma (primary open-angle)	緑内障 (primary open-angle)	Disease
Glioblastoma	グリア芽腫 (神経膠芽細胞腫)	Disease
Glioma	グリオーマ (膠腫)	Disease
Glioma (high-grade)	グリオーマ (膠腫) (high-grade)	Disease
Glomerulosclerosis	糸球体硬化	Disease
Glycated hemoglobin levels	糖化ヘモグロビン濃度	Trait_med
Glycemic control in type 1 diabetes (HbA1c)	1型糖尿病における血糖コントロール (HbA1c)	Trait_med
Gout	痛風	Disease
Graves' disease	グレーブス病 (眼球突出性甲状腺腫) 	Disease
HDL Cholesterol - Triglycerides (HDLC-TG)	HDLコレステロール - トリグリセリド (HDLC-TG)	Trait_med
HDL cholesterol	HDLコレステロール	Trait_med
HIV (mother-to-child transmission)	HIV (母子感染)	Disease
HIV-1 control	HIV-1の制御	Trait_med
HIV-1 progression	HIV-1の進行	Trait_med
HIV-1 replication	HIV-1の複製	Trait_med
HIV-1 susceptibility	HIV-1の感受性	Trait_med
HIV-1 viral setpoint	HIV-1のセットポイント	Trait_med
HIV-associated dementia 	HIV関連性の痴呆	Disease
HPV seropositivity	HPV血清陽性	Trait_med
Hair color	毛髪色	Trait_easy
Hair morphology	毛髪の形態	Trait_easy
Handedness in dyslexia	失読症における利き手	Trait_med
Haptoglobin levels	ハプトグロビン濃度	Trait_med
Head circumference (infant)	頭囲 (乳児)	Trait_med
Hearing impairment	難聴	Disease
Heart failure	心不全	Disease
Heart rate variability traits	心拍数変動性形質	Trait_med
Height	身長	Trait_easy
Hematocrit	ヘマトクリット値 (血液中の赤血球の割合)	Trait_med
Hematological parameters	血液学的なパラメータ	Trait_med
Hematology traits	血液学形質	Trait_med
Hemoglobin	ヘモグロビン	Trait_med
Hemoglobin levels	ヘモグロビン濃度	Trait_med
Hemostatic factors and hematological phenotypes	止血因子と血液学的な表現型	Trait_med
Hepatitis B	B型肝炎	Disease
Hepatitis B (viral clearance)	B型肝炎 (ウイルス排除)	Disease
Hepatitis B vaccine response	B型肝炎のワクチン応答	Trait_med
Hepatitis C induced liver fibrosis	C型肝炎誘発性の肝線維症	Disease
Hepatocellular carcinoma	肝細胞がん	Disease
Hepcidin levels	ヘプシジン(肝臓由来の抗菌ペプチドホルモン)濃度	Trait_med
Heroin addiction	ヘロイン中毒	Disease
Hip bone size	寛骨(腰骨)の大きさ	Trait_med
Hip geometry	腰の形状	Trait_med
Hippocampal atrophy	海馬萎縮	Disease
Hippocampal volume	海馬の体積	Trait_med
Hirschsprung's disease	ヒルシュスプルング病	Disease
Hoarding	溜め込み症	Disease
Hodgkin's lymphoma	ホジキンリンパ腫	Disease
Homocysteine levels	ホモシステイン濃度	Trait_med
Hyperactive-impulsive symptoms	多動性・衝動性の症状	Disease
Hypertension	高血圧	Disease
Hypertension (young onset)	高血圧 (young onset)	Disease
Hypertension risk in short sleep duration	高血圧 (短時間睡眠の継続によるリスク)	Disease
Hypertriglyceridemia	高トリグリセリド血症	Disease
Hypospadias	尿道下裂	Disease
Hypothyroidism	甲状腺機能低下症	Disease
IFN-related cytopenia	IFN関連血球減少症	Disease
Idiopathic pulmonary fibrosis	特発性肺線維症	Disease
IgA levels	IgA(免疫グロブリンA)濃度	Trait_med
IgA nephropathy	IgA(免疫グロブリンA)腎症	Disease
IgE grass sensitization	IgE grass sensitization?	Trait_med
IgE levels 	IgE 濃度	Trait_med
IgG levels	IgG 濃度	Trait_med
Ileal carcinoids	回腸カルチノイド	Trait_med
Immune reponse to smallpox (secreted IFN-alpha)	天然痘(ほうそう)への免疫応答 (secreted IFN-alpha)	Trait_med
Immune reponse to smallpox (secreted IL-10)	天然痘(ほうそう)への免疫応答 (secreted IL-10)	Trait_med
Immune reponse to smallpox (secreted IL-12p40)	天然痘(ほうそう)への免疫応答 (secreted IL-12p40)	Trait_med
Immune reponse to smallpox (secreted IL-1beta)	天然痘(ほうそう)への免疫応答 (secreted IL-1beta)	Trait_med
Immune reponse to smallpox (secreted IL-2)	天然痘(ほうそう)への免疫応答 (secreted IL-2)	Trait_med
Immune reponse to smallpox (secreted TNF-alpha)	天然痘(ほうそう)への免疫応答 (secreted TNF-alpha)	Trait_med
Immune response to anthrax vaccine 	炭疽ワクチンへの免疫応答	Trait_med
Immune response to smallpox vaccine (IL-6)	天然痘(ほうそう)ワクチンへの免疫応答 (IL-6)	Trait_med
Immunoglobulin A 	IgA(免疫グロブリンA)腎症	Disease
Inattentive symptoms	注意欠陥障害	Disease
Infantile hypertrophic pyloric stenosis	乳児肥厚性幽門狭窄症	Disease
Inflammatory biomarkers	炎症のバイオマーカー	Trait_med
Inflammatory bowel disease	炎症性腸疾患	Disease
Inflammatory bowel disease (early onset)	炎症性腸疾患 (early onset)	Disease
Influenza (severity)	インフルエンザの重症度	Disease
Information processing speed	情報処理の速度	Trait_easy
Insomnia (caffeine-induced)	不眠症 (カフェイン誘導性の)	Disease
Insulin resistance/response	インシュリン抵抗・応答性	Trait_med
Insulin-like growth factors	インシュリン様成長因子	Trait_med
Insulin-related traits	インシュリン関連形質	Trait_med
Intelligence	知能	Trait_easy
Interleukin-18 levels	インターロイキン18濃度	Trait_med
Interstitial lung disease 	間質性肺疾患	Disease
Intracranial aneurysm	頭蓋内動脈瘤	Disease
Intracranial volume	頭蓋内体積	Trait_med
Intraocular pressure	眼内圧	Trait_med
Iris characteristics	虹彩の特徴	Trait_easy
Iris color	虹彩の色	Trait_easy
Iron levels	鉄濃度	Trait_med
Iron status biomarkers	鉄の状態のバイオマーカー	Trait_med
Kawasaki disease	川崎病	Disease
Keloid	ケロイド(蟹足腫)	Disease
Kidney stones	腎結石	Disease
Knee osteoarthritis	膝関節症	Disease
LDL cholesterol	LDLコレステロール	Trait_med
Lapatinib-induced hepatotoxicity	ラパチニブ誘導性の肝臓毒性	Trait_med
Large B-cell lymphoma	大細胞型B細胞性リンパ腫	Disease
Lean body mass and age at menarche (combined)	除脂肪体重と月経開始 (combined)	Trait_med
Left ventricular mass	左室体積	Trait_med
Lentiform nucleus volume 	レンズ核体積	Trait_med
Leprosy	らい(癩)病 (ハンセン病)	Disease
Life threatening arrhythmia	致命的な不整脈	Disease
Lipid levels in hepatitis C treatment	C型肝炎治療における脂質濃度	Trait_med
Lipid metabolism phenotypes	脂質代謝の表現型	Trait_med
Lipid traits	脂質の形質	Trait_med
Lipoprotein-associated phospholipase A2 activity and mass	リポタンパク質関連ホスホリパーゼA2の活性と量	Trait_med
Liver enzyme levels	肝臓酵素濃度	Trait_med
Liver enzyme levels (alanine transaminase)	肝臓酵素濃度 (alanine transaminase)	Trait_med
Liver enzyme levels (alkaline phosphatase)	肝臓酵素濃度 (alkaline phosphatase)	Trait_med
Liver enzyme levels (gamma-glutamyl transferase)	肝臓酵素濃度 (gamma-glutamyl transferase)	Trait_med
Longevity	寿命	Trait_easy
Lp (a) levels	リポタンパク質(a)濃度	Trait_med
Lumiracoxib-related liver injury	ルミラコキシブ関連の肝臓損傷	Disease
Lung adenocarcinoma	肺腺がん	Disease
Lung adenocarcinoma (clinical stage)	肺腺がん (clinical stage)	Disease
Lung cancer	肺がん	Disease
Lung cancer-asbestos exposure interaction	肺がんとアスベスト曝露の相互作用	Disease
Lupus	ループス(狼瘡)	Disease
Lymphocyte counts	リンパ球量	Trait_med
MRI atrophy measures	MRIによる萎縮測定	Trait_med
Magnesium levels	マグネシウム濃度	Trait_med
Major CVD	主要な心血管疾患	Disease
Major depressive disorder	大うつ病性障害	Disease
Major depressive disorder (broad)	大うつ病性障害 (broad)	Disease
Major mood disorders	主要な気分障害	Disease
Malaria	マラリア	Disease
Male fertility	雄性稔性(生殖能)	Disease
Male infertility	男性不妊症	Disease
Male-pattern baldness	男性型脱毛症	Disease
Mammographic density	乳房X線撮影の密度	Trait_med
Mathematical ability	数理能力	Trait_easy
Matrix metalloproteinase levels	マトリックスメタロプロテアーゼ濃度	Trait_med
Mean corpuscular hemoglobin	平均赤血球ヘモグロビン量	Trait_med
Mean corpuscular volume	平均赤血球容積	Trait_med
Mean forced vital capacity from 2 exams	平均努力肺活量 (2つの検査による)	Trait_med
Mean platelet volume	平均血小板容積	Trait_med
Melanoma	メラノーマ(悪性黒色腫)	Disease
Memory (short-term)	短期記憶	Trait_easy
Memory performance	記憶能力	Trait_easy
Menarche (age at onset)	月経開始期 (age at onset)	Trait_med
Menarche and menopause (age at onset)	月経開始期と閉経 (age at onset)	Trait_med
Meningioma 	髄膜腫 (脳膜腫)	Disease
Meningococcal disease	髄膜炎菌性疾患	Disease
Menopause (age at onset)	閉経 (age at onset)	Trait_med
Metabolic syndrome	メタボリックシンドローム	Disease
Metabolic syndrome (bivariate traits)	メタボリックシンドローム (二変量の形質)	Disease
Metabolic traits	代謝の形質	Trait_med
Metabolite levels	代謝物質濃度	Trait_med
Methamphetamine dependence	メタンフェタミン依存症	Disease
Migraine	偏頭痛	Disease
Migraine in bipolar disorder	双極性障害における偏頭痛	Disease
Monocyte chemoattractant protein-1 	単球走化性タンパク質-1	Trait_med
Monocyte early outgrowth colony forming units	単核細胞の早期増殖コロニーフォーミングユニット	Trait_med
Morbidity-free survival	罹患なしの生存	Trait_med
Mortality among heart failure patients	心不全患者における死亡率	Disease
Moyamoya disease	もやもや病(ウィリス動脈輪閉塞症)	Disease
Multiple myeloma	多発性骨髄腫	Disease
Multiple sclerosis	多発性硬化症	Disease
Multiple sclerosis (age of onset)	多発性硬化症 (age of onset)	Disease
Multiple sclerosis (severity)	多発性硬化症の重症度	Disease
Multiple sclerosis--Brain Glutamate Levels	多発性硬化症と脳グルタミン酸濃度	Trait_med
Myasthenia gravis 	重症筋無力症	Disease
Myeloproliferative neoplasms	骨髄増殖性腫瘍	Disease
Myocardial infarction	心筋梗塞	Disease
Myocardial infarction (early onset)	心筋梗塞 (early onset)	Disease
Myopia (pathological)	近視 (病理的な)	Disease
N-glycan levels	N-グリカン濃度	Trait_med
Naphthyl-keratin adduct levels 	ナフチル角質付加物濃度	Trait_med
Narcolepsy	睡眠発作(ナルコレプシー)	Disease
Nasopharyngeal carcinoma	鼻咽頭がん	Disease
Natriuretic peptide levels	ナトリウム利尿ペプチド濃度	Trait_med
