eng	ja
Body mass index and cholesterol (psychopharmacological treatment)	Body mass index and cholesterol (psychopharmacological treatment)
Body mass index and fat mass	Body mass index and fat mass
Bone mineral density	骨密度
Bone mineral density (hip)	Bone mineral density (hip)
Bone mineral density (interaction)	Bone mineral density (interaction)
Bone mineral density (spine)	Bone mineral density (spine)
Brachial circumference	Brachial circumference
Brain development	Brain development
Brain imaging	脳機能イメージング
Brain imaging in schizophrenia (interaction)	Brain imaging in schizophrenia (interaction)
Brain lesion load	Brain lesion load
Brain structure	Brain structure
Breast cancer	乳がん
Breast cancer (male) 	Breast cancer (male)
Breast cancer (prognosis)	Breast cancer (prognosis)
Breast cancer (survival)	Breast cancer (survival)
Breast size	Breast size
Bronchopulmonary dysplasia	気管支肺異形成症
Burning and freckling	Burning and freckling
Butyrylcholinesterase levels	Butyrylcholinesterase levels
C-reactive protein	C反応性蛋白質
C-reactive protein and white blood cell count	C-reactive protein and white blood cell count
C4b binding protein levels	C4b binding protein levels
CD4:CD8 lymphocyte ratio	CD4:CD8 lymphocyte ratio
CYP3A4 enzyme activity	CYP3A4 enzyme activity
Caffeine consumption	カフェイン消費
Calcium levels	Calcium levels
Cannabis dependence	大麻依存
Cannbis use (initiation)	Cannbis use (initiation)
Capecitabine sensitivity	Capecitabine sensitivity
Cardiac hypertrophy	生理的心肥大
Cardiac repolarization	Cardiac repolarization
Cardiac structure and function	Cardiac structure and function
Cardiovascular disease risk factors	Cardiovascular disease risk factors
Carotenoid and tocopherol levels	Carotenoid and tocopherol levels
Carotid atherosclerosis in HIV infection	Carotid atherosclerosis in HIV infection
Carotid intima media thickness	Carotid intima media thickness
Cataracts in type 2 diabetes	Cataracts in type 2 diabetes
Caudate nucleus volume	Caudate nucleus volume
Celiac disease	成人脂肪便症
Celiac disease and Rheumatoid arthritis	Celiac disease and Rheumatoid arthritis
Central corneal thickness	Central corneal thickness
Chemerin levels	Chemerin levels
Chemotherapeutic susceptibility	Chemotherapeutic susceptibility
Cholelithiasis-related traits in sickle cell anemia	Cholelithiasis-related traits in sickle cell anemia
Cholesterol	家族性高脂血症
Cholesterol, total	Cholesterol, total
Chronic Hepatitis C infection	Chronic Hepatitis C infection
Chronic fatigue syndrome	慢性疲労症候群
Chronic kidney disease	慢性腎疾患
Chronic kidney disease and serum creatinine levels	Chronic kidney disease and serum creatinine levels
Chronic lymphocytic leukemia	B細胞慢性リンパ球性白血病
Chronic myeloid leukemia	慢性期慢性骨髄性白血病
Chronic obstructive pulmonary disease	慢性閉塞性肺疾患
Circulating cell-free DNA	Circulating cell-free DNA
Cleft lip	口唇口蓋裂
Coagulation factor levels	Coagulation factor levels
Coffee consumption	Coffee consumption
Cognitive ability	認知能力
Cognitive decline	認知低下
Cognitive function	認知機能
Cognitive performance	Cognitive performance
Cognitive test performance	Cognitive test performance
Colorectal cancer	大腸癌検診
Common traits (Other)	Common traits (Other)
Common variable immunodeficiency	分類不能免疫不全症
Complement C3 and C4 levels	Complement C3 and C4 levels
Comprehensive strength and appendicular lean mass	Comprehensive strength and appendicular lean mass
Conduct disorder (case status)	Conduct disorder (case status)
Conduct disorder (interaction)	Conduct disorder (interaction)
Conduct disorder (symptom count)	Conduct disorder (symptom count)
Corneal astigmatism	角膜乱視
Corneal curvature	Corneal curvature
Corneal structure	Corneal structure
Coronary artery calcification	冠動脈石灰化
Coronary heart disease	アテローム(性)冠(状)動脈硬化性心疾患
Coronary restenosis	冠状動脈再狭窄
Coronary spasm	冠血管れん縮
Cortical structure	Cortical structure
Cortical thickness	Cortical thickness
Cortisol secretion	Cortisol secretion
Creatinine levels	Creatinine levels
Creutzfeldt-Jakob disease	異型クロイツフェルト・ヤコブ病
Creutzfeldt-Jakob disease (variant)	Creutzfeldt-Jakob disease (variant)
Crohn's disease	クローン病性若年性関節炎
Crohn's disease and celiac disease	Crohn's disease and celiac disease
Crohn's disease and psoriasis	Crohn's disease and psoriasis
Crohn's disease and sarcoidosis (combined)	Crohn's disease and sarcoidosis (combined)
Cutaneous nevi	Cutaneous nevi
Cystatin C	シスタチンC
Cystic fibrosis (meconium ileus) 	Cystic fibrosis (meconium ileus)
Cystic fibrosis severity	Cystic fibrosis severity
Cytomegalovirus antibody response	Cytomegalovirus antibody response
D-dimer levels	D-dimer levels
Dehydroepiandrosterone sulphate levels	Dehydroepiandrosterone sulphate levels
Dengue shock syndrome 	Dengue shock syndrome
Dental caries	う蝕活動性試験
Depression (age of onset)	Depression (age of onset)
Depression (quantitative trait)	Depression (quantitative trait)
Depression and alcohol dependence	Depression and alcohol dependence
Diabetes (gestational)	Diabetes (gestational)
Diabetes (incident)	Diabetes (incident)
Diabetes related insulin traits	Diabetes related insulin traits
Diabetic retinopathy 	Diabetic retinopathy
Dialysis-related mortality	Dialysis-related mortality
Diastolic blood pressure	最低血圧
Digit length ratio	Digit length ratio
Dilated cardiomyopathy	軽度拡張型心筋症
Disc degeneration (lumbar)	Disc degeneration (lumbar)
Drinking behavior	飲水行動
Drug-induced liver injury 	Drug-induced liver injury
Drug-induced liver injury (amoxicillin-clavulanate)	Drug-induced liver injury (amoxicillin-clavulanate)
Drug-induced liver injury (flucloxacillin)	Drug-induced liver injury (flucloxacillin)
Duodenal ulcer 	穿孔性十二指腸潰瘍
Dupuytren's disease	Dupuytren's disease
E-selectin levels	E-selectin levels
Eating disorders	Eating disorders
Echocardiographic traits	Echocardiographic traits
Economic and political preferences	Economic and political preferences
Economic and political preferences (environmentalism)	Economic and political preferences (environmentalism)
Economic and political preferences (fairness)	Economic and political preferences (fairness)
Economic and political preferences (feminism/equality)	Economic and political preferences (feminism/equality)
Economic and political preferences (immigration/crime)	Economic and political preferences (immigration/crime)
Economic and political preferences (time)	Economic and political preferences (time)
Educational attainment	Educational attainment
Electrocardiographic conduction measures	Electrocardiographic conduction measures
Electrocardiographic traits	Electrocardiographic traits
Electroencephalogram traits	Electroencephalogram traits
Electroencephalographic traits in alcoholism	Electroencephalographic traits in alcoholism
Emphysema-related traits	Emphysema-related traits
End-stage renal disease	糖尿病末期腎不全
End-stage renal disease (non-diabetic)	End-stage renal disease (non-diabetic)
Endometrial cancer	子宮体がん
Endometriosis	内性子宮内膜症
Endothelial function traits	Endothelial function traits
Entorhinal cortical thickness	Entorhinal cortical thickness
Environmental confusion in the home	Environmental confusion in the home
Eosinophil counts	Eosinophil counts
Eosinophilic esophagitis (pediatric)	Eosinophilic esophagitis (pediatric)
Epilepsy	運動性部分てんかん
Epilepsy (generalized)	Epilepsy (generalized)
Epirubicin-induced leukopenia 	Epirubicin-induced leukopenia
Episodic memory	エピソード記憶
Erectile dysfunction	勃起改善薬
Erectile dysfunction and prostate cancer treatment	Erectile dysfunction and prostate cancer treatment
Erythrocyte sedimentation rate	血沈
Esophageal cancer	進行食道癌
Esophageal cancer  (alcohol interaction)	Esophageal cancer  (alcohol interaction)
Esophageal cancer (squamous cell)	Esophageal cancer (squamous cell)
Esophageal cancer and gastric cancer	Esophageal cancer and gastric cancer
Essential tremor	本態性振戦症
Estradiol levels	Estradiol levels
Event-related brain oscillations	Event-related brain oscillations
Ewing sarcoma	ユーイング肉腫
Exercise (leisure time)	Exercise (leisure time)
Exercise treadmill test traits	Exercise treadmill test traits
Eye color	眼色
Eye color traits	Eye color traits
F-cell distribution	F-cell distribution
Facial morphology	Facial morphology
Factor VII	遺伝子組換え第VIII因子SQ
Factor XI	凝固第XI因子
Fasting glucose-related traits	Fasting glucose-related traits
Fasting glucose-related traits (interaction with BMI)	Fasting glucose-related traits (interaction with BMI)
Fasting insulin-related traits	Fasting insulin-related traits
Fasting insulin-related traits (interaction with BMI)	Fasting insulin-related traits (interaction with BMI)
Fasting plasma glucose	空腹時血糖値
Femoral neck bone geometry	Femoral neck bone geometry
Fetal hemoglobin levels	Fetal hemoglobin levels
Fibrinogen	フィブリノ(ー)ゲン分解(産)物
Fluorouracil treatment response in colorectal cancer	Fluorouracil treatment response in colorectal cancer
Folate pathway vitamin levels	Folate pathway vitamin levels
Follicular lymphoma	巨大濾胞性リンパ腫
Formal thought disorder in schizophrenia	Formal thought disorder in schizophrenia
Fracture-related traits	Fracture-related traits
Freckles	Freckles
Freckling	Freckling
Frontotemporal lobar degeneration	前頭側頭葉変性症
Fuchs's corneal dystrophy	Fuchs's corneal dystrophy
Functional MRI	機能的磁気共鳴画像法
Gallbladder cancer	転移性胆嚢癌
Gallstones	Gallstones
Gambling	賭博
Gamma gluatamyl transferase levels	Gamma gluatamyl transferase levels
Gamma gluatamyl transferase levels (interaction with age)	Gamma gluatamyl transferase levels (interaction with age)
Gamma glutamyl transpeptidase	Gamma glutamyl transpeptidase
Gastric cancer	残胃癌
Gaucher disease severity	Gaucher disease severity
General cognitive ability	General cognitive ability
Glaucoma	慢性開放隅角緑内障
Glaucoma (exfoliation)	Glaucoma (exfoliation)
Glaucoma (primary open-angle)	Glaucoma (primary open-angle)
Glioblastoma	巨細胞膠芽腫
Glioma	非クロム親和性傍神経節腫
Glioma (high-grade)	Glioma (high-grade)
Glomerulosclerosis	分節状糸球体硬化症
Glycated hemoglobin levels	Glycated hemoglobin levels
Glycemic control in type 1 diabetes (HbA1c)	Glycemic control in type 1 diabetes (HbA1c)
Gout	アイカルディ・ゴーシェ症候群
Graves' disease	Basedow病
HDL Cholesterol - Triglycerides (HDLC-TG)	HDL Cholesterol - Triglycerides (HDLC-TG)
HDL cholesterol	HDLコレステロール
HIV (mother-to-child transmission)	HIV (mother-to-child transmission)
HIV-1 control	HIV-1 control
HIV-1 progression	HIV-1 progression
HIV-1 replication	HIV-1 replication
HIV-1 susceptibility	HIV-1 susceptibility
HIV-1 viral setpoint	HIV-1 viral setpoint
HIV-associated dementia 	HIV-associated dementia
HPV seropositivity	HPV seropositivity
Hair color	毛髪色
Hair morphology	Hair morphology
Handedness in dyslexia	Handedness in dyslexia
Haptoglobin levels	Haptoglobin levels
Head circumference (infant)	Head circumference (infant)
Hearing impairment	後迷路性難聴
Heart failure	甲状腺中毒性心不全
Heart rate variability traits	Heart rate variability traits
Height	ステップ高
Hematocrit	血球容量
Hematological parameters	Hematological parameters
Hematology traits	Hematology traits
Hemoglobin	酵素－ヘモグロビン解離曲線
Hemoglobin levels	Hemoglobin levels
Hemostatic factors and hematological phenotypes	Hemostatic factors and hematological phenotypes
Hepatitis B	アヒルB型肝炎ウイルス
Hepatitis B (viral clearance)	Hepatitis B (viral clearance)
Hepatitis B vaccine response	Hepatitis B vaccine response
Hepatitis C induced liver fibrosis	Hepatitis C induced liver fibrosis
Hepatocellular carcinoma	肝細胞がん
Hepcidin levels	Hepcidin levels
Heroin addiction	ヘロイン嗜癖
Hip bone size	Hip bone size
Hip geometry	Hip geometry
Hippocampal atrophy	Hippocampal atrophy
Hippocampal volume	Hippocampal volume
Hirschsprung's disease	Hirschsprung病
Hoarding	強迫的溜め込み症
Hodgkin's lymphoma	Hodgkinリンパ腫
Homocysteine levels	Homocysteine levels
Hyperactive-impulsive symptoms	Hyperactive-impulsive symptoms
Hypertension	食塩感受性高血圧
Hypertension (young onset)	Hypertension (young onset)
Hypertension risk in short sleep duration	Hypertension risk in short sleep duration
Hypertriglyceridemia	家族性高トリグリセリド血症
Hypospadias	尿道下裂
Hypothyroidism	二次性甲状腺機能低下
IFN-related cytopenia	IFN-related cytopenia
Idiopathic pulmonary fibrosis	特発性肺線維症
IgA levels	IgA levels
IgA nephropathy	IgA腎症
IgE grass sensitization	IgE grass sensitization
IgE levels 	IgE levels
IgG levels	IgG levels
Ileal carcinoids	Ileal carcinoids
Immune reponse to smallpox (secreted IFN-alpha)	Immune reponse to smallpox (secreted IFN-alpha)
Immune reponse to smallpox (secreted IL-10)	Immune reponse to smallpox (secreted IL-10)
Immune reponse to smallpox (secreted IL-12p40)	Immune reponse to smallpox (secreted IL-12p40)
Immune reponse to smallpox (secreted IL-1beta)	Immune reponse to smallpox (secreted IL-1beta)
Immune reponse to smallpox (secreted IL-2)	Immune reponse to smallpox (secreted IL-2)
Immune reponse to smallpox (secreted TNF-alpha)	Immune reponse to smallpox (secreted TNF-alpha)
Immune response to anthrax vaccine 	Immune response to anthrax vaccine
Immune response to smallpox vaccine (IL-6)	Immune response to smallpox vaccine (IL-6)
Immunoglobulin A 	IgA腎症
Inattentive symptoms	Inattentive symptoms
Infantile hypertrophic pyloric stenosis	乳児肥厚性幽門狭窄症
Inflammatory biomarkers	Inflammatory biomarkers
Inflammatory bowel disease	慢性炎症性腸疾患
Inflammatory bowel disease (early onset)	Inflammatory bowel disease (early onset)
Influenza (severity)	Influenza (severity)
Information processing speed	Information processing speed
Insomnia (caffeine-induced)	Insomnia (caffeine-induced)
Insulin resistance/response	Insulin resistance/response
Insulin-like growth factors	Insulin-like growth factors
Insulin-related traits	Insulin-related traits
Intelligence	こころの知能
Interleukin-18 levels	Interleukin-18 levels
Interstitial lung disease 	Interstitial lung disease
Intracranial aneurysm	脳動脈瘤
Intracranial volume	Intracranial volume
Intraocular pressure	眼圧亢進
Iris characteristics	Iris characteristics
Iris color	Iris color
Iron levels	Iron levels
Iron status biomarkers	Iron status biomarkers
Kawasaki disease	Kawasaki病
Keloid	ケロイド
Kidney stones	Kidney stones
Knee osteoarthritis	変形性膝関節炎
LDL cholesterol	LDLコレステロール
Lapatinib-induced hepatotoxicity	Lapatinib-induced hepatotoxicity
Large B-cell lymphoma	びまん性大細胞リンパ腫
Lean body mass and age at menarche (combined)	Lean body mass and age at menarche (combined)
Left ventricular mass	左室重量係数
Lentiform nucleus volume 	Lentiform nucleus volume
Leprosy	境界型ハンセン病
Life threatening arrhythmia	Life threatening arrhythmia
Lipid levels in hepatitis C treatment	Lipid levels in hepatitis C treatment
Lipid metabolism phenotypes	Lipid metabolism phenotypes
Lipid traits	Lipid traits
Lipoprotein-associated phospholipase A2 activity and mass	Lipoprotein-associated phospholipase A2 activity and mass
Liver enzyme levels	Liver enzyme levels
Liver enzyme levels (alanine transaminase)	Liver enzyme levels (alanine transaminase)
Liver enzyme levels (alkaline phosphatase)	Liver enzyme levels (alkaline phosphatase)
Liver enzyme levels (gamma-glutamyl transferase)	Liver enzyme levels (gamma-glutamyl transferase)
Longevity	寿命延長
Lp (a) levels	Lp (a) levels
Lumiracoxib-related liver injury	Lumiracoxib-related liver injury
Lung adenocarcinoma	肺腺癌
Lung adenocarcinoma (clinical stage)	Lung adenocarcinoma (clinical stage)
Lung cancer	転移性肺非小細胞癌
Lung cancer-asbestos exposure interaction	Lung cancer-asbestos exposure interaction
Lupus	ループス血小板減少症
Lymphocyte counts	Lymphocyte counts
MRI atrophy measures	MRI atrophy measures
Magnesium levels	Magnesium levels
Major CVD	Major CVD
Major depressive disorder	大うつ病性障害
Major depressive disorder (broad)	Major depressive disorder (broad)
Major mood disorders	Major mood disorders
Malaria	Plasmodium falciparumマラリア
Male fertility	女性用妊娠促進薬
Male infertility	男性不妊
Male-pattern baldness	Male-pattern baldness
Mammographic density	Mammographic density
Mathematical ability	Mathematical ability
Matrix metalloproteinase levels	Matrix metalloproteinase levels
Mean corpuscular hemoglobin	平均赤血球血色素濃度
Mean corpuscular volume	平均赤血球容積
Mean forced vital capacity from 2 exams	Mean forced vital capacity from 2 exams
Mean platelet volume	Mean platelet volume
Melanoma	B16メラノーマ細胞
Memory (short-term)	Memory (short-term)
Memory performance	Memory performance
Menarche (age at onset)	Menarche (age at onset)
Menarche and menopause (age at onset)	Menarche and menopause (age at onset)
Meningioma 	Meningioma
Meningococcal disease	Meningococcal disease
Menopause (age at onset)	Menopause (age at onset)
Metabolic syndrome	代謝異常症候群
Metabolic syndrome (bivariate traits)	Metabolic syndrome (bivariate traits)
Metabolic traits	Metabolic traits
Metabolite levels	Metabolite levels
Methamphetamine dependence	Methamphetamine dependence
Migraine	片頭痛前兆
Migraine in bipolar disorder	Migraine in bipolar disorder
Monocyte chemoattractant protein-1 	Monocyte chemoattractant protein-1
Monocyte early outgrowth colony forming units	Monocyte early outgrowth colony forming units
Morbidity-free survival	Morbidity-free survival
Mortality among heart failure patients	Mortality among heart failure patients
Moyamoya disease	成人もやもや病
Multiple myeloma	多発性骨髄腫
Multiple sclerosis	一次性進行型多発性硬化症
Multiple sclerosis (age of onset)	Multiple sclerosis (age of onset)
Multiple sclerosis (severity)	Multiple sclerosis (severity)
Multiple sclerosis--Brain Glutamate Levels	Multiple sclerosis--Brain Glutamate Levels
Myasthenia gravis 	Myasthenia gravis
Myeloproliferative neoplasms	Myeloproliferative neoplasms
Myocardial infarction	貫壁性心筋梗塞
Myocardial infarction (early onset)	Myocardial infarction (early onset)
Myopia (pathological)	Myopia (pathological)
N-glycan levels	N-glycan levels
Naphthyl-keratin adduct levels 	Naphthyl-keratin adduct levels
Narcolepsy	睡眠発作
Nasopharyngeal carcinoma	鼻咽頭がん
Natriuretic peptide levels	Natriuretic peptide levels
Neonatal lupus	新生児エリテマトーデス
Nephrolithiasis	多発性腎結石
Nephropathy	高カルシウム血症性腎症
Nephropathy (idiopathic membranous)	Nephropathy (idiopathic membranous)
Nephrotic syndrome (acquired)	Nephrotic syndrome (acquired)
Neural processing (facial expression)	Neural processing (facial expression)
Neuranatomic and neurocognitive phenotypes	Neuranatomic and neurocognitive phenotypes
Neuroblastoma	嗅神経芽細胞腫
Neuroblastoma (high-risk)	Neuroblastoma (high-risk)
Neuromyelitis optica	視神経脊髄炎
Neuroticism	神経質
Neutrophil count	好中球数
Nevirapine-induced rash	Nevirapine-induced rash
Nevus count	Nevus count
Nicotine dependence	ニコチン依存症
Nodular sclerosis Hodgkin lymphoma	Nodular sclerosis Hodgkin lymphoma
Non-albumin protein levels 	Non-albumin protein levels
Non-alcoholic fatty liver disease histology (AST)	Non-alcoholic fatty liver disease histology (AST)
Non-alcoholic fatty liver disease histology (lobular)	Non-alcoholic fatty liver disease histology (lobular)
Non-alcoholic fatty liver disease histology (other)	Non-alcoholic fatty liver disease histology (other)
Non-obstructive azoospermia	Non-obstructive azoospermia
Non-small cell lung cancer	Non-small cell lung cancer
Nonalcoholic fatty liver disease	非アルコール性脂肪性肝疾患
Normalized brain volume	Normalized brain volume
Obesity	肥満症
Obesity (early onset extreme)	Obesity (early onset extreme)
Obesity (extreme)	Obesity (extreme)
Obesity and blood pressure	Obesity and blood pressure
Obesity and osteoporosis	Obesity and osteoporosis
Obesity-related traits	Obesity-related traits
Obsessive-compulsive disorder	強迫症
Odorant perception	Odorant perception
Optic disc parameters	Optic disc parameters
Optic disc size (cup)	Optic disc size (cup)
Optic disc size (disc)	Optic disc size (disc)
Optic disc size (rim)	Optic disc size (rim)
Oral cancers (chewing tobacco related)	Oral cancers (chewing tobacco related)
Orofacial clefts	Orofacial clefts
Osteoarthritis	CM関節変形性関節症
Osteonecrosis of the jaw	ビスホスホネート誘発顎骨壊死
Osteoporosis	オステオポローシス
Osteoporosis-related phenotypes	Osteoporosis-related phenotypes
Other erythrocyte phenotypes	Other erythrocyte phenotypes
Otosclerosis	耳硬化症
Ovarian cancer	卵巣上皮がん
Ovarian reserve	Ovarian reserve
P-tau181p	P-tau181p
PR interval	ＰＲ(ＰＱ)間隔
Paclitaxel-induced neuropathy	Paclitaxel-induced neuropathy
Paget's disease	乳房パジェット病
Pain	mカルパイン
Pancreatic cancer	膵がん
Panic disorder	広場恐怖を伴うパニック障害
Parkinson's disease	特発性パーキンソン病
Parkinson's disease (age of onset)	Parkinson's disease (age of onset)
Parkinson's disease (familial)	Parkinson's disease (familial)
Parkinson's disease (interaction with coffee consumption)	Parkinson's disease (interaction with coffee consumption)
Parkinson's disease (motor and cognition)	Parkinson's disease (motor and cognition)
Partial epilepsies	Partial epilepsies
Pelvic organ prolapse	骨盤内臓器脱
Pemphigus vulgaris	尋常性天疱瘡
Pericardial fat	Pericardial fat
Periodontal microbiota	Periodontal microbiota
Periodontitis	若年性歯周炎
Peripartum cardiomyopathy	産褥性心筋症
Peripheral artery disease	末梢動脈疾患
Permanent tooth development	Permanent tooth development
Personality dimensions	Personality dimensions
Personality disorders	Personality disorders
Phospholipid levels (plasma)	Phospholipid levels (plasma)
Phosphorus levels	Phosphorus levels
Phytosterol levels	Phytosterol levels
Plasminogen activator inhibitor type 1 levels (PAI-1)	Plasminogen activator inhibitor type 1 levels (PAI-1)
Platelet aggregation	血小板凝集抑制作用
Platelet counts	Platelet counts
Platelet function and related traits	Platelet function and related traits
Podoconiosis	Podoconiosis
Polycystic ovary syndrome	多嚢胞性卵巣症候群
Polyunsaturated fatty acid levels	Polyunsaturated fatty acid levels
Post- traumatic stress disorder	Post- traumatic stress disorder
Postoperative nausea and vomiting 	Postoperative nausea and vomiting
Postoperative ventricular dysfunction 	Postoperative ventricular dysfunction
Preeclampsia	妊娠高血圧腎症
Premature ovarian failure	早発閉経
Primary biliary cirrhosis	原発性胆汁性肝硬変
Primary sclerosing cholangitis	原発性硬化性胆管炎
Primary tooth development (number of teeth)	Primary tooth development (number of teeth)
Primary tooth development (time to first tooth eruption)	Primary tooth development (time to first tooth eruption)
Prion diseases	Prion diseases
Progranulin levels	Progranulin levels
Progressive supranuclear palsy	進行性核上麻痺
Proinsulin levels	Proinsulin levels
Prostate cancer	前立腺がん細胞株
Prostate cancer (gene x gene interaction)	Prostate cancer (gene x gene interaction)
Prostate cancer mortality	Prostate cancer mortality
Prostate-specific antigen levels	Prostate-specific antigen levels
Protein C levels	Protein C levels
Protein quantitative trait loci	Protein quantitative trait loci
Prothrombin time	プロトロンビン時間
Pseudoexfoliation syndrome	Pseudoexfoliation syndrome
Psoriasis	網状類乾癬
Psoriatic arthritis	乾癬性関節炎
Pulmonary function	肺機能検査
Pulmonary function decline	Pulmonary function decline
QT interval	補正QT時間
Quantitative traits	Quantitative traits
RR interval (heart rate)	RR interval (heart rate)
Radiation response	Radiation response
Reasoning	Reasoning
Recombination rate (females)	Recombination rate (females)
Recombination rate (males)	Recombination rate (males)
Red blood cell traits	Red blood cell traits
Red vs non-red hair color	Red vs non-red hair color
Red vs. non-red hair color	Red vs. non-red hair color
Refractive error	屈折異常
Renal cell carcinoma	乳頭状腎細胞がん
Renal function and chronic kidney disease	Renal function and chronic kidney disease
Renal function-related traits (BUN)	Renal function-related traits (BUN)
Renal function-related traits (eGRFcrea)	Renal function-related traits (eGRFcrea)
Renal function-related traits (sCR)	Renal function-related traits (sCR)
